developer_source,developer_target,interaction_type,repo,weight,timestamp
bob_wilson,charlie_chen,merge_request,frontend-react-app,4,2025-04-16 07:12:44.255449
bob_wilson,diana_rodriguez,issue_comment,frontend-react-app,2,2025-03-07 07:12:44.255449
henry_brown,grace_kim,issue_comment,auth-microservice,3,2025-02-14 07:12:44.255449
ida_taylor,kate_anderson,commit_review,notification-system,5,2025-03-25 07:12:44.255449
noah_white,kate_anderson,pull_request,mobile-flutter-app,2,2025-04-25 07:12:44.255449
liam_garcia,ida_taylor,commit_review,auth-microservice,2,2025-02-07 07:12:44.255449
frank_smith,henry_brown,merge_request,auth-microservice,2,2024-12-31 07:12:44.255449
frank_smith,henry_brown,pull_request,auth-microservice,6,2025-05-31 07:12:44.255449
frank_smith,liam_garcia,code_review,backend-api-service,8,2025-03-13 07:12:44.255449
alex_clark,tina_moore,commit_review,devops-infrastructure,3,2024-12-12 07:12:44.255449
noah_white,olivia_lee,code_review,mobile-flutter-app,4,2024-12-14 07:12:44.255449
riley_king,alex_clark,commit_review,devops-infrastructure,3,2025-03-17 07:12:44.255449
quinn_miller,peter_jackson,merge_request,ml-recommendation-engine,3,2025-02-16 07:12:44.255449
quinn_miller,peter_jackson,pull_request,data-analytics-pipeline,8,2025-04-16 07:12:44.255449
quinn_miller,tina_moore,issue_comment,data-analytics-pipeline,5,2025-05-08 07:12:44.255449
frank_smith,bob_wilson,issue_comment,frontend-react-app,5,2025-01-22 07:12:44.255449
liam_garcia,jack_davis,commit_review,backend-api-service,3,2025-01-23 07:12:44.255449
peter_jackson,tina_moore,merge_request,data-analytics-pipeline,2,2025-03-25 07:12:44.255449
rosa_lopez,tina_moore,pull_request,data-analytics-pipeline,2,2025-03-14 07:12:44.255449
rosa_lopez,sam_williams,merge_request,data-analytics-pipeline,6,2025-04-06 07:12:44.255449
grace_kim,liam_garcia,pull_request,notification-system,1,2025-01-20 07:12:44.255449
liam_garcia,jack_davis,code_review,auth-microservice,2,2025-01-27 07:12:44.255449
frank_smith,liam_garcia,merge_request,backend-api-service,2,2025-02-20 07:12:44.255449
grace_kim,ida_taylor,commit_review,backend-api-service,4,2025-01-06 07:12:44.255449
jordan_lewis,riley_king,commit_review,devops-infrastructure,6,2025-05-25 07:12:44.255449
peter_jackson,quinn_miller,pull_request,ml-recommendation-engine,8,2025-05-07 07:12:44.255449
peter_jackson,rosa_lopez,commit_review,ml-recommendation-engine,3,2025-02-17 07:12:44.255449
tina_moore,rosa_lopez,pull_request,data-analytics-pipeline,8,2025-05-01 07:12:44.255449
frank_smith,ida_taylor,code_review,auth-microservice,3,2025-01-07 07:12:44.255449
ida_taylor,jack_davis,pull_request,notification-system,8,2025-01-24 07:12:44.255449
jack_davis,liam_garcia,code_review,notification-system,4,2025-02-20 07:12:44.255449
jordan_lewis,morgan_young,issue_comment,devops-infrastructure,1,2024-12-06 07:12:44.255449
peter_jackson,quinn_miller,merge_request,ml-recommendation-engine,6,2025-02-25 07:12:44.255449
frank_smith,liam_garcia,merge_request,notification-system,1,2025-01-27 07:12:44.255449
kate_anderson,henry_brown,issue_comment,notification-system,1,2025-03-18 07:12:44.255449
peter_jackson,tina_moore,commit_review,data-analytics-pipeline,1,2024-12-24 07:12:44.255449
henry_brown,grace_kim,merge_request,backend-api-service,2,2025-04-11 07:12:44.255449
grace_kim,liam_garcia,commit_review,backend-api-service,5,2025-05-16 07:12:44.255449
tina_moore,peter_jackson,commit_review,ml-recommendation-engine,5,2025-04-14 07:12:44.255449
tina_moore,sam_williams,commit_review,ml-recommendation-engine,7,2025-05-01 07:12:44.255449
jack_davis,ida_taylor,issue_comment,backend-api-service,1,2025-04-21 07:12:44.255449
peter_jackson,olivia_lee,issue_comment,mobile-flutter-app,5,2025-05-16 07:12:44.255449
bob_wilson,frank_smith,issue_comment,frontend-react-app,5,2025-03-20 07:12:44.255449
eve_johnson,frank_smith,pull_request,frontend-react-app,3,2025-02-22 07:12:44.255449
ida_taylor,henry_brown,code_review,notification-system,8,2025-03-28 07:12:44.255449
grace_kim,liam_garcia,commit_review,auth-microservice,2,2025-01-31 07:12:44.255449
peter_jackson,tina_moore,code_review,data-analytics-pipeline,7,2025-04-08 07:12:44.255449
rosa_lopez,tina_moore,issue_comment,data-analytics-pipeline,1,2025-04-13 07:12:44.255449
kate_anderson,liam_garcia,merge_request,auth-microservice,6,2024-12-26 07:12:44.255449
tina_moore,jordan_lewis,pull_request,devops-infrastructure,4,2024-12-22 07:12:44.255449
casey_hall,morgan_young,pull_request,devops-infrastructure,4,2025-05-13 07:12:44.255449
ida_taylor,henry_brown,pull_request,notification-system,5,2025-01-12 07:12:44.255449
peter_jackson,quinn_miller,issue_comment,ml-recommendation-engine,5,2025-02-03 07:12:44.255449
sam_williams,quinn_miller,merge_request,ml-recommendation-engine,1,2025-06-02 07:12:44.255449
jack_davis,kate_anderson,code_review,auth-microservice,6,2025-05-22 07:12:44.255449
quinn_miller,peter_jackson,code_review,data-analytics-pipeline,7,2025-05-15 07:12:44.255449
kate_anderson,maya_thompson,code_review,mobile-flutter-app,7,2025-03-28 07:12:44.255449
riley_king,tina_moore,merge_request,devops-infrastructure,2,2025-01-19 07:12:44.255449
jack_davis,grace_kim,commit_review,notification-system,5,2025-02-07 07:12:44.255449
henry_brown,grace_kim,merge_request,notification-system,6,2025-05-11 07:12:44.255449
grace_kim,henry_brown,pull_request,notification-system,5,2025-01-19 07:12:44.255449
maya_thompson,peter_jackson,code_review,mobile-flutter-app,6,2025-05-31 07:12:44.255449
peter_jackson,olivia_lee,commit_review,mobile-flutter-app,4,2025-01-11 07:12:44.255449
henry_brown,kate_anderson,code_review,notification-system,6,2025-03-20 07:12:44.255449
grace_kim,henry_brown,code_review,notification-system,1,2025-05-29 07:12:44.255449
alex_clark,casey_hall,merge_request,devops-infrastructure,1,2025-05-23 07:12:44.255449
rosa_lopez,tina_moore,commit_review,ml-recommendation-engine,3,2025-02-15 07:12:44.255449
grace_kim,liam_garcia,issue_comment,auth-microservice,2,2025-05-15 07:12:44.255449
liam_garcia,kate_anderson,code_review,auth-microservice,1,2025-05-23 07:12:44.255449
grace_kim,ida_taylor,code_review,auth-microservice,6,2025-03-27 07:12:44.255449
ida_taylor,liam_garcia,merge_request,backend-api-service,8,2025-04-30 07:12:44.255449
liam_garcia,jack_davis,merge_request,backend-api-service,3,2025-01-23 07:12:44.255449
alice_martinez,bob_wilson,pull_request,frontend-react-app,3,2024-12-31 07:12:44.255449
frank_smith,ida_taylor,pull_request,auth-microservice,1,2025-04-02 07:12:44.255449
diana_rodriguez,charlie_chen,code_review,frontend-react-app,7,2025-05-29 07:12:44.255449
ida_taylor,liam_garcia,issue_comment,auth-microservice,1,2025-02-10 07:12:44.255449
quinn_miller,tina_moore,merge_request,data-analytics-pipeline,1,2025-02-25 07:12:44.255449
peter_jackson,rosa_lopez,issue_comment,ml-recommendation-engine,5,2024-12-16 07:12:44.255449
grace_kim,jack_davis,pull_request,auth-microservice,7,2025-02-28 07:12:44.255449
peter_jackson,liam_garcia,code_review,mobile-flutter-app,4,2024-12-17 07:12:44.255449
frank_smith,kate_anderson,commit_review,auth-microservice,5,2025-04-26 07:12:44.255449
olivia_lee,kate_anderson,code_review,mobile-flutter-app,4,2024-12-28 07:12:44.255449
noah_white,maya_thompson,issue_comment,mobile-flutter-app,8,2025-05-19 07:12:44.255449
bob_wilson,charlie_chen,issue_comment,frontend-react-app,6,2025-04-09 07:12:44.255449
liam_garcia,henry_brown,issue_comment,backend-api-service,7,2025-04-14 07:12:44.255449
liam_garcia,grace_kim,commit_review,auth-microservice,7,2025-05-11 07:12:44.255449
riley_king,casey_hall,issue_comment,devops-infrastructure,3,2025-04-07 07:12:44.255449
henry_brown,liam_garcia,commit_review,backend-api-service,4,2025-03-22 07:12:44.255449
casey_hall,riley_king,merge_request,devops-infrastructure,2,2025-03-09 07:12:44.255449
frank_smith,alice_martinez,merge_request,frontend-react-app,4,2025-02-12 07:12:44.255449
rosa_lopez,sam_williams,pull_request,ml-recommendation-engine,4,2024-12-25 07:12:44.255449
rosa_lopez,quinn_miller,merge_request,data-analytics-pipeline,2,2025-02-20 07:12:44.255449
ida_taylor,liam_garcia,commit_review,auth-microservice,6,2024-12-28 07:12:44.255449
ida_taylor,frank_smith,commit_review,auth-microservice,6,2025-02-27 07:12:44.255449
casey_hall,alex_clark,merge_request,devops-infrastructure,3,2025-05-12 07:12:44.255449
kate_anderson,frank_smith,commit_review,auth-microservice,3,2025-01-02 07:12:44.255449
rosa_lopez,quinn_miller,issue_comment,ml-recommendation-engine,5,2025-02-13 07:12:44.255449
quinn_miller,tina_moore,merge_request,ml-recommendation-engine,2,2025-03-18 07:12:44.255449
grace_kim,ida_taylor,pull_request,notification-system,6,2025-02-13 07:12:44.255449
peter_jackson,sam_williams,issue_comment,ml-recommendation-engine,3,2025-04-12 07:12:44.255449
tina_moore,peter_jackson,pull_request,data-analytics-pipeline,1,2025-04-24 07:12:44.255449
grace_kim,henry_brown,issue_comment,notification-system,3,2025-01-24 07:12:44.255449
tina_moore,quinn_miller,pull_request,ml-recommendation-engine,4,2025-03-21 07:12:44.255449
morgan_young,casey_hall,merge_request,devops-infrastructure,3,2025-03-24 07:12:44.255449
bob_wilson,alice_martinez,pull_request,frontend-react-app,1,2025-02-21 07:12:44.255449
rosa_lopez,peter_jackson,code_review,data-analytics-pipeline,5,2025-05-28 07:12:44.255449
sam_williams,peter_jackson,code_review,ml-recommendation-engine,2,2025-03-12 07:12:44.255449
maya_thompson,noah_white,merge_request,mobile-flutter-app,4,2025-05-08 07:12:44.255449
grace_kim,liam_garcia,merge_request,notification-system,5,2025-04-10 07:12:44.255449
jack_davis,liam_garcia,code_review,auth-microservice,7,2025-05-29 07:12:44.255449
grace_kim,ida_taylor,code_review,backend-api-service,2,2025-03-30 07:12:44.255449
morgan_young,tina_moore,issue_comment,devops-infrastructure,1,2025-02-17 07:12:44.255449
noah_white,olivia_lee,merge_request,mobile-flutter-app,8,2025-05-27 07:12:44.255449
sam_williams,peter_jackson,commit_review,ml-recommendation-engine,2,2025-05-01 07:12:44.255449
tina_moore,quinn_miller,merge_request,ml-recommendation-engine,8,2025-04-28 07:12:44.255449
kate_anderson,henry_brown,pull_request,notification-system,8,2025-03-11 07:12:44.255449
noah_white,peter_jackson,issue_comment,mobile-flutter-app,7,2025-02-10 07:12:44.255449
tina_moore,rosa_lopez,commit_review,ml-recommendation-engine,5,2025-02-08 07:12:44.255449
kate_anderson,liam_garcia,commit_review,mobile-flutter-app,1,2025-05-17 07:12:44.255449
casey_hall,tina_moore,issue_comment,devops-infrastructure,8,2025-02-01 07:12:44.255449
ida_taylor,henry_brown,merge_request,notification-system,2,2025-04-09 07:12:44.255449
morgan_young,casey_hall,commit_review,devops-infrastructure,2,2025-03-30 07:12:44.255449
bob_wilson,diana_rodriguez,pull_request,frontend-react-app,6,2025-05-02 07:12:44.255449
peter_jackson,quinn_miller,commit_review,data-analytics-pipeline,6,2025-04-27 07:12:44.255449
henry_brown,ida_taylor,merge_request,backend-api-service,3,2024-12-23 07:12:44.255449
peter_jackson,liam_garcia,merge_request,mobile-flutter-app,3,2025-05-28 07:12:44.255449
liam_garcia,maya_thompson,code_review,mobile-flutter-app,6,2025-01-08 07:12:44.255449
alice_martinez,bob_wilson,issue_comment,frontend-react-app,7,2025-03-14 07:12:44.255449
kate_anderson,ida_taylor,commit_review,auth-microservice,7,2025-01-31 07:12:44.255449
sam_williams,jordan_lewis,merge_request,devops-infrastructure,2,2025-03-16 07:12:44.255449
peter_jackson,liam_garcia,commit_review,mobile-flutter-app,3,2025-04-26 07:12:44.255449
quinn_miller,sam_williams,merge_request,data-analytics-pipeline,7,2025-03-06 07:12:44.255449
quinn_miller,sam_williams,merge_request,ml-recommendation-engine,4,2025-01-02 07:12:44.255449
riley_king,alex_clark,code_review,devops-infrastructure,8,2025-03-11 07:12:44.255449
kate_anderson,liam_garcia,pull_request,auth-microservice,5,2025-05-27 07:12:44.255449
kate_anderson,jack_davis,merge_request,backend-api-service,4,2024-12-27 07:12:44.255449
alice_martinez,diana_rodriguez,merge_request,frontend-react-app,6,2024-12-12 07:12:44.255449
kate_anderson,henry_brown,commit_review,auth-microservice,5,2025-04-18 07:12:44.255449
jack_davis,henry_brown,commit_review,backend-api-service,5,2025-01-18 07:12:44.255449
sam_williams,rosa_lopez,commit_review,data-analytics-pipeline,3,2025-05-09 07:12:44.255449
kate_anderson,noah_white,issue_comment,mobile-flutter-app,8,2024-12-23 07:12:44.255449
peter_jackson,maya_thompson,code_review,mobile-flutter-app,7,2025-02-21 07:12:44.255449
alex_clark,jordan_lewis,commit_review,devops-infrastructure,1,2025-04-19 07:12:44.255449
charlie_chen,eve_johnson,merge_request,frontend-react-app,4,2024-12-28 07:12:44.255449
tina_moore,peter_jackson,code_review,data-analytics-pipeline,6,2025-05-17 07:12:44.255449
peter_jackson,sam_williams,code_review,ml-recommendation-engine,8,2025-02-04 07:12:44.255449
morgan_young,alex_clark,commit_review,devops-infrastructure,4,2025-04-11 07:12:44.255449
jordan_lewis,alex_clark,merge_request,devops-infrastructure,2,2025-05-17 07:12:44.255449
eve_johnson,diana_rodriguez,issue_comment,frontend-react-app,4,2025-02-05 07:12:44.255449
peter_jackson,tina_moore,merge_request,ml-recommendation-engine,2,2025-04-06 07:12:44.255449
sam_williams,quinn_miller,pull_request,ml-recommendation-engine,1,2025-02-20 07:12:44.255449
alice_martinez,diana_rodriguez,commit_review,frontend-react-app,8,2025-03-05 07:12:44.255449
alice_martinez,charlie_chen,pull_request,frontend-react-app,8,2025-01-13 07:12:44.255449
grace_kim,ida_taylor,code_review,notification-system,3,2025-01-10 07:12:44.255449
jack_davis,frank_smith,code_review,backend-api-service,4,2025-04-04 07:12:44.255449
liam_garcia,ida_taylor,issue_comment,notification-system,5,2024-12-05 07:12:44.255449
alice_martinez,eve_johnson,issue_comment,frontend-react-app,5,2025-03-29 07:12:44.255449
tina_moore,alex_clark,commit_review,devops-infrastructure,2,2025-01-25 07:12:44.255449
liam_garcia,peter_jackson,pull_request,mobile-flutter-app,8,2025-02-06 07:12:44.255449
peter_jackson,olivia_lee,pull_request,mobile-flutter-app,4,2025-02-04 07:12:44.255449
tina_moore,quinn_miller,merge_request,data-analytics-pipeline,4,2025-04-07 07:12:44.255449
alice_martinez,charlie_chen,code_review,frontend-react-app,7,2025-04-14 07:12:44.255449
liam_garcia,olivia_lee,merge_request,mobile-flutter-app,1,2025-01-17 07:12:44.255449
sam_williams,tina_moore,pull_request,data-analytics-pipeline,3,2025-01-16 07:12:44.255449
tina_moore,quinn_miller,code_review,data-analytics-pipeline,2,2025-01-09 07:12:44.255449
noah_white,maya_thompson,commit_review,mobile-flutter-app,1,2025-03-06 07:12:44.255449
tina_moore,rosa_lopez,merge_request,data-analytics-pipeline,4,2025-05-10 07:12:44.255449
liam_garcia,ida_taylor,code_review,backend-api-service,1,2025-05-04 07:12:44.255449
liam_garcia,jack_davis,pull_request,backend-api-service,7,2025-04-28 07:12:44.255449
rosa_lopez,tina_moore,commit_review,data-analytics-pipeline,7,2025-05-18 07:12:44.255449
rosa_lopez,sam_williams,pull_request,data-analytics-pipeline,5,2025-01-04 07:12:44.255449
noah_white,kate_anderson,code_review,mobile-flutter-app,7,2025-05-14 07:12:44.255449
maya_thompson,liam_garcia,commit_review,mobile-flutter-app,6,2024-12-28 07:12:44.255449
tina_moore,peter_jackson,issue_comment,ml-recommendation-engine,2,2025-01-27 07:12:44.255449
peter_jackson,noah_white,merge_request,mobile-flutter-app,1,2025-04-11 07:12:44.255449
sam_williams,rosa_lopez,merge_request,ml-recommendation-engine,5,2025-04-16 07:12:44.255449
kate_anderson,henry_brown,merge_request,backend-api-service,1,2025-04-05 07:12:44.255449
kate_anderson,grace_kim,pull_request,auth-microservice,5,2025-01-05 07:12:44.255449
morgan_young,sam_williams,commit_review,devops-infrastructure,8,2025-05-21 07:12:44.255449
liam_garcia,jack_davis,commit_review,auth-microservice,6,2025-02-19 07:12:44.255449
alice_martinez,charlie_chen,issue_comment,frontend-react-app,8,2025-01-08 07:12:44.255449
morgan_young,jordan_lewis,commit_review,devops-infrastructure,6,2025-04-24 07:12:44.255449
jordan_lewis,casey_hall,commit_review,devops-infrastructure,4,2025-03-25 07:12:44.255449
maya_thompson,liam_garcia,code_review,mobile-flutter-app,5,2025-05-27 07:12:44.255449
casey_hall,tina_moore,pull_request,devops-infrastructure,8,2025-03-07 07:12:44.255449
quinn_miller,peter_jackson,commit_review,data-analytics-pipeline,5,2025-01-17 07:12:44.255449
eve_johnson,frank_smith,issue_comment,frontend-react-app,6,2025-02-05 07:12:44.255449
diana_rodriguez,charlie_chen,merge_request,frontend-react-app,8,2025-05-10 07:12:44.255449
kate_anderson,grace_kim,commit_review,auth-microservice,5,2024-12-31 07:12:44.255449
kate_anderson,frank_smith,commit_review,backend-api-service,1,2025-03-20 07:12:44.255449
diana_rodriguez,eve_johnson,issue_comment,frontend-react-app,5,2025-03-15 07:12:44.255449
frank_smith,henry_brown,pull_request,notification-system,1,2025-02-09 07:12:44.255449
morgan_young,tina_moore,code_review,devops-infrastructure,4,2024-12-13 07:12:44.255449
riley_king,jordan_lewis,commit_review,devops-infrastructure,1,2025-04-20 07:12:44.255449
henry_brown,jack_davis,merge_request,backend-api-service,2,2025-01-21 07:12:44.255449
jack_davis,ida_taylor,commit_review,notification-system,7,2024-12-26 07:12:44.255449
frank_smith,ida_taylor,merge_request,backend-api-service,3,2025-03-08 07:12:44.255449
frank_smith,henry_brown,issue_comment,notification-system,7,2025-04-23 07:12:44.255449
grace_kim,frank_smith,commit_review,notification-system,3,2025-03-27 07:12:44.255449
peter_jackson,sam_williams,pull_request,ml-recommendation-engine,3,2025-01-04 07:12:44.255449
frank_smith,jack_davis,pull_request,auth-microservice,7,2025-01-14 07:12:44.255449
quinn_miller,rosa_lopez,issue_comment,ml-recommendation-engine,2,2025-05-16 07:12:44.255449
morgan_young,tina_moore,pull_request,devops-infrastructure,2,2025-03-17 07:12:44.255449
charlie_chen,alice_martinez,code_review,frontend-react-app,1,2025-03-25 07:12:44.255449
liam_garcia,grace_kim,issue_comment,backend-api-service,4,2025-05-23 07:12:44.255449
jack_davis,henry_brown,pull_request,backend-api-service,6,2025-01-15 07:12:44.255449
kate_anderson,peter_jackson,code_review,mobile-flutter-app,8,2025-05-09 07:12:44.255449
jack_davis,liam_garcia,pull_request,auth-microservice,4,2025-03-20 07:12:44.255449
rosa_lopez,sam_williams,code_review,ml-recommendation-engine,2,2025-05-04 07:12:44.255449
maya_thompson,liam_garcia,pull_request,mobile-flutter-app,3,2025-04-13 07:12:44.255449
maya_thompson,liam_garcia,issue_comment,mobile-flutter-app,2,2025-01-06 07:12:44.255449
jordan_lewis,tina_moore,merge_request,devops-infrastructure,3,2025-02-16 07:12:44.255449
tina_moore,jordan_lewis,merge_request,devops-infrastructure,8,2025-04-25 07:12:44.255449
sam_williams,morgan_young,commit_review,devops-infrastructure,7,2025-02-22 07:12:44.255449
rosa_lopez,sam_williams,issue_comment,ml-recommendation-engine,2,2025-02-25 07:12:44.255449
kate_anderson,henry_brown,issue_comment,auth-microservice,2,2024-12-05 07:12:44.255449
frank_smith,charlie_chen,pull_request,frontend-react-app,5,2025-04-07 07:12:44.255449
olivia_lee,kate_anderson,commit_review,mobile-flutter-app,2,2025-03-13 07:12:44.255449
charlie_chen,frank_smith,issue_comment,frontend-react-app,7,2025-05-23 07:12:44.255449
alex_clark,tina_moore,code_review,devops-infrastructure,4,2025-03-04 07:12:44.255449
ida_taylor,liam_garcia,pull_request,auth-microservice,7,2024-12-25 07:12:44.255449
noah_white,maya_thompson,merge_request,mobile-flutter-app,8,2024-12-25 07:12:44.255449
noah_white,maya_thompson,code_review,mobile-flutter-app,4,2025-04-14 07:12:44.255449
jordan_lewis,liam_garcia,code_review,devops-infrastructure,2,2025-02-27 07:12:44.255449
bob_wilson,jordan_lewis,commit_review,notification-system,4,2025-03-16 07:12:44.255449
jack_davis,ida_taylor,pull_request,backend-api-service,5,2025-05-17 07:12:44.255449
quinn_miller,alex_clark,issue_comment,ml-recommendation-engine,5,2024-12-26 07:12:44.255449
alex_clark,eve_johnson,commit_review,ml-recommendation-engine,1,2025-05-25 07:12:44.255449
frank_smith,noah_white,code_review,frontend-react-app,4,2025-01-25 07:12:44.255449
frank_smith,rosa_lopez,issue_comment,ml-recommendation-engine,1,2025-01-14 07:12:44.255449
ida_taylor,kate_anderson,commit_review,data-analytics-pipeline,4,2024-12-18 07:12:44.255449
jack_davis,charlie_chen,merge_request,ml-recommendation-engine,3,2025-04-18 07:12:44.255449
grace_kim,olivia_lee,code_review,frontend-react-app,4,2025-03-24 07:12:44.255449
alice_martinez,jordan_lewis,commit_review,auth-microservice,3,2025-04-24 07:12:44.255449
morgan_young,quinn_miller,code_review,data-analytics-pipeline,5,2025-02-22 07:12:44.255449
alex_clark,rosa_lopez,commit_review,mobile-flutter-app,5,2025-04-25 07:12:44.255449
jordan_lewis,olivia_lee,issue_comment,data-analytics-pipeline,2,2025-05-16 07:12:44.255449
charlie_chen,olivia_lee,commit_review,ml-recommendation-engine,4,2025-03-30 07:12:44.255449
alex_clark,casey_hall,code_review,backend-api-service,2,2025-02-03 07:12:44.255449
riley_king,alex_clark,merge_request,notification-system,5,2025-01-20 07:12:44.255449
frank_smith,alice_martinez,issue_comment,notification-system,5,2025-03-25 07:12:44.255449
casey_hall,bob_wilson,commit_review,ml-recommendation-engine,4,2025-04-02 07:12:44.255449
diana_rodriguez,olivia_lee,issue_comment,mobile-flutter-app,3,2025-04-21 07:12:44.255449
rosa_lopez,noah_white,merge_request,data-analytics-pipeline,1,2025-05-28 07:12:44.255449
riley_king,liam_garcia,commit_review,notification-system,5,2025-04-02 07:12:44.255449
charlie_chen,riley_king,issue_comment,ml-recommendation-engine,5,2025-03-18 07:12:44.255449
henry_brown,grace_kim,commit_review,ml-recommendation-engine,2,2025-01-22 07:12:44.255449
rosa_lopez,alex_clark,merge_request,data-analytics-pipeline,4,2025-03-05 07:12:44.255449
eve_johnson,alex_clark,commit_review,data-analytics-pipeline,1,2025-04-16 07:12:44.255449
frank_smith,charlie_chen,pull_request,backend-api-service,2,2025-02-26 07:12:44.255449
